Положение X	Положение Y	Положение Z
-0.0317	21.6491	-0.2548
-0.0315	21.6536	-0.2202
-0.0313	21.6503	-0.1855
-0.0311	21.6490	-0.1768
-0.0309	21.6533	-0.2115
-0.0308	21.6499	-0.2028
-0.0306	21.6511	-0.2288
-0.0303	21.6514	-0.2375
-0.0302	21.6485	-0.1941
-0.0299	21.6445	-0.1682
-0.0289	21.6479	-0.2461
-0.0276	21.6441	-0.1941
-0.0271	21.6415	-0.2027
-0.0268	21.6444	-0.2461
-0.0268	21.6429	-0.2114
-0.0268	21.6385	-0.1681
-0.0268	21.6343	-0.1594
-0.0267	21.6398	-0.1854
-0.0265	21.6440	-0.2287
-0.0265	21.6415	-0.2373
-0.0258	21.6396	-0.2546
-0.0255	21.6409	-0.2200
-0.0253	21.6391	-0.1768
-0.0237	21.6376	-0.2417
-0.0231	21.6347	-0.2070
-0.0229	21.6315	-0.1897
-0.0227	21.6349	-0.2200
-0.0227	21.6308	-0.1680
-0.0227	21.6360	-0.2373
-0.0226	21.6345	-0.2113
-0.0223	21.6344	-0.2286
-0.0223	21.6332	-0.2460
-0.0222	21.6340	-0.1767
-0.0220	21.6320	-0.2546
-0.0217	21.6301	-0.1939
-0.0217	21.6307	-0.1594
-0.0213	21.6303	-0.1853
-0.0196	21.6268	-0.2069
-0.0195	21.6287	-0.2416
-0.0194	21.6295	-0.2502
-0.0194	21.6284	-0.2329
-0.0194	21.6274	-0.2243
-0.0193	21.6273	-0.2156
-0.0193	21.6271	-0.1810
-0.0191	21.6273	-0.1897
-0.0189	21.6256	-0.1983
-0.0185	21.6265	-0.1767
-0.0184	21.6278	-0.2372
-0.0183	21.6193	-0.2544
-0.0183	21.6182	-0.1506
-0.0182	21.6263	-0.2199
-0.0181	21.6260	-0.2285
-0.0179	21.6240	-0.1853
-0.0177	21.6246	-0.1939
-0.0173	21.6227	-0.2112
-0.0173	21.6184	-0.1593
-0.0168	21.6236	-0.2459
-0.0162	21.6194	-0.1896
-0.0157	21.6179	-0.1982
-0.0154	21.6190	-0.2242
-0.0154	21.6196	-0.2414
-0.0152	21.6195	-0.2156
-0.0152	21.6206	-0.2501
-0.0152	21.6173	-0.1809
-0.0147	21.6177	-0.2328
-0.0146	21.6164	-0.1636
-0.0146	21.6160	-0.2068
-0.0145	21.6150	-0.1722
-0.0145	21.6128	-0.1592
-0.0142	21.6184	-0.2284
-0.0137	21.6182	-0.1938
-0.0137	21.6160	-0.1852
-0.0135	21.6146	-0.2111
-0.0129	21.6140	-0.2544
-0.0129	21.6157	-0.2457
-0.0129	21.6157	-0.2371
-0.0126	21.6164	-0.1506
-0.0126	21.6121	-0.2198
-0.0125	21.6141	-0.1766
-0.0118	21.6114	-0.1809
-0.0117	21.6096	-0.2414
-0.0116	21.6103	-0.1981
-0.0113	21.6135	-0.2241
-0.0113	21.6095	-0.2155
-0.0113	21.6115	-0.2500
-0.0108	21.6081	-0.2067
-0.0105	21.6066	-0.1721
-0.0104	21.6069	-0.1636
-0.0101	21.6090	-0.2327
-0.0099	21.6067	-0.2110
-0.0099	21.6052	-0.1895
-0.0095	21.6079	-0.1765
-0.0092	21.6085	-0.2197
-0.0091	21.6021	-0.1505
-0.0089	21.6074	-0.2456
-0.0089	21.6069	-0.2369
-0.0089	21.6038	-0.1592
-0.0087	21.6059	-0.2543
-0.0080	21.6044	-0.2283
-0.0079	21.6041	-0.1851
-0.0074	21.6015	-0.1808
-0.0073	21.6000	-0.2067
-0.0072	21.6008	-0.1635
-0.0072	21.6006	-0.1721
-0.0072	21.6021	-0.2240
-0.0067	21.5994	-0.1894
-0.0064	21.6006	-0.2326
-0.0063	21.6011	-0.2154
-0.0063	21.6006	-0.2498
-0.0059	21.5975	-0.1980
-0.0059	21.5997	-0.2413
-0.0056	21.5933	-0.1418
-0.0056	21.5975	-0.1764
-0.0055	21.6021	-0.2283
-0.0054	21.5996	-0.2369
-0.0052	21.5977	-0.2196
-0.0052	21.5973	-0.1851
-0.0052	21.5931	-0.1505
-0.0049	21.6006	-0.2456
-0.0049	21.5994	-0.2542
-0.0045	21.5996	-0.2110
-0.0042	21.5935	-0.1591
-0.0035	21.5957	-0.1894
-0.0031	21.5926	-0.2066
-0.0030	21.5912	-0.1720
-0.0028	21.5959	-0.2325
-0.0026	21.5901	-0.1979
-0.0025	21.5931	-0.2153
-0.0022	21.5938	-0.2498
-0.0022	21.5887	-0.2411
-0.0017	21.5889	-0.1807
-0.0017	21.5895	-0.1634
-0.0014	21.5912	-0.2239
-0.0011	21.5900	-0.2541
-0.0010	21.5920	-0.2282
-0.0009	21.5904	-0.2454
-0.0008	21.5853	-0.1590
-0.0007	21.5890	-0.1850
0.0000	21.5899	-0.2368
0.0001	21.5878	-0.2109
0.0003	21.5893	-0.2195
0.0003	21.5818	-0.1417
0.0004	21.5831	-0.1504
0.0009	21.5860	-0.1763
0.0013	21.5861	-0.2411
0.0013	21.5827	-0.1979
0.0015	21.5816	-0.1806
0.0015	21.5842	-0.2497
0.0020	21.5809	-0.1634
0.0022	21.5819	-0.2152
0.0022	21.5845	-0.2238
0.0026	21.5795	-0.1893
0.0028	21.5808	-0.1719
0.0032	21.5834	-0.2324
0.0033	21.5822	-0.2108
0.0033	21.5846	-0.2454
0.0035	21.5787	-0.1590
0.0037	21.5751	-0.1417
0.0039	21.5788	-0.2065
0.0039	21.5777	-0.1763
0.0040	21.5742	-0.1330
0.0041	21.5774	-0.1504
0.0041	21.5788	-0.1935
0.0043	21.5794	-0.2540
0.0043	21.5805	-0.2367
0.0043	21.5808	-0.2280
0.0045	21.5795	-0.2194
0.0048	21.5786	-0.1849
0.0052	21.5739	-0.1719
0.0056	21.5743	-0.1633
0.0057	21.5749	-0.1806
0.0059	21.5768	-0.2237
0.0060	21.5717	-0.1416
0.0062	21.5743	-0.2064
0.0063	21.5755	-0.2151
0.0064	21.5768	-0.2323
0.0065	21.5736	-0.1892
0.0071	21.5670	-0.1330
0.0071	21.5715	-0.1978
0.0072	21.5742	-0.2410
0.0073	21.5710	-0.2496
0.0074	21.5723	-0.1762
0.0075	21.5735	-0.2107
0.0076	21.5695	-0.1503
0.0080	21.5730	-0.1589
0.0081	21.5712	-0.2021
0.0081	21.5721	-0.1848
0.0081	21.5665	-0.2538
0.0081	21.5707	-0.2365
0.0083	21.5701	-0.1934
0.0083	21.5716	-0.2193
0.0087	21.5714	-0.2280
0.0089	21.5686	-0.2452
0.0096	21.5662	-0.1891
0.0097	21.5680	-0.2064
0.0099	21.5658	-0.1718
0.0100	21.5681	-0.2150
0.0104	21.5676	-0.2322
0.0106	21.5660	-0.1977
0.0108	21.5639	-0.2495
0.0110	21.5631	-0.1546
0.0111	21.5628	-0.2409
0.0112	21.5621	-0.1632
0.0112	21.5593	-0.2537
0.0112	21.5644	-0.1805
0.0115	21.5637	-0.2365
0.0115	21.5651	-0.2020
0.0116	21.5644	-0.2236
0.0116	21.5638	-0.1589
0.0120	21.5641	-0.2193
0.0122	21.5614	-0.1847
0.0122	21.5626	-0.1933
0.0123	21.5569	-0.1243
0.0126	21.5553	-0.1329
0.0126	21.5604	-0.2451
0.0128	21.5592	-0.1502
0.0128	21.5630	-0.2279
0.0129	21.5583	-0.1416
0.0129	21.5608	-0.1761
0.0131	21.5629	-0.2106
0.0143	21.5575	-0.2149
0.0144	21.5576	-0.2321
0.0144	21.5586	-0.2408
0.0144	21.5555	-0.1976
0.0146	21.5558	-0.2062
0.0147	21.5570	-0.1804
0.0147	21.5573	-0.2494
0.0150	21.5544	-0.1545
0.0151	21.5570	-0.2235
0.0152	21.5541	-0.1632
0.0155	21.5618	-0.1891
0.0157	21.5527	-0.1458
0.0157	21.5536	-0.1717
0.0163	21.5523	-0.1502
0.0164	21.5529	-0.2451
0.0165	21.5508	-0.1243
0.0165	21.5528	-0.1761
0.0165	21.5533	-0.2278
0.0166	21.5532	-0.2105
0.0168	21.5495	-0.1329
0.0168	21.5505	-0.1588
0.0168	21.5525	-0.1674
0.0169	21.5511	-0.2019
0.0169	21.5513	-0.2192
0.0169	21.5500	-0.2536
0.0170	21.5508	-0.1415
0.0171	21.5548	-0.2364
0.0175	21.5510	-0.1932
0.0177	21.5530	-0.2062
0.0180	21.5499	-0.1717
0.0180	21.5509	-0.1846
0.0183	21.5484	-0.1545
0.0186	21.5536	-0.2408
0.0187	21.5512	-0.2493
0.0190	21.5481	-0.1890
0.0193	21.5453	-0.1458
0.0194	21.5462	-0.1631
0.0194	21.5491	-0.2234
0.0194	21.5492	-0.1804
0.0197	21.5496	-0.2321
0.0199	21.5484	-0.2148
