Положение X	Положение Y	Положение Z
0.4970	21.6672	-0.1726
0.4971	21.6662	-0.1943
0.4972	21.6678	-0.2323
0.4973	21.6672	-0.1835
0.4973	21.6672	-0.2160
0.4974	21.6659	-0.2051
0.4974	21.6659	-0.2376
0.4974	21.6652	-0.1889
0.4975	21.6646	-0.1781
0.4975	21.6681	-0.2268
0.4975	21.6630	-0.1617
0.4977	21.6655	-0.2106
0.4978	21.6657	-0.2431
0.4981	21.6640	-0.1997
0.4984	21.6648	-0.1672
0.4995	21.6590	-0.2213
0.4996	21.6587	-0.1834
0.4997	21.6563	-0.1888
0.4997	21.6568	-0.2104
0.4997	21.6575	-0.2050
0.4997	21.6597	-0.2376
0.4998	21.6566	-0.1780
0.4998	21.6603	-0.2430
0.4998	21.6540	-0.1617
0.4999	21.6596	-0.2267
0.5000	21.6517	-0.1563
0.5000	21.6557	-0.1996
0.5000	21.6564	-0.2159
0.5002	21.6590	-0.1725
0.5002	21.6551	-0.1942
0.5003	21.6578	-0.1672
0.5003	21.6587	-0.2322
0.5019	21.6488	-0.1616
0.5019	21.6458	-0.1995
0.5019	21.6405	-0.1562
0.5020	21.6499	-0.2266
0.5021	21.6460	-0.2103
0.5021	21.6500	-0.1725
0.5022	21.6474	-0.1779
0.5022	21.6473	-0.2320
0.5022	21.6485	-0.2212
0.5023	21.6454	-0.1833
0.5023	21.6496	-0.2429
0.5023	21.6459	-0.2158
0.5025	21.6451	-0.1887
0.5026	21.6455	-0.2049
0.5026	21.6471	-0.1670
0.5027	21.6456	-0.1941
0.5029	21.6452	-0.2374
0.5036	21.6371	-0.1643
0.5042	21.6325	-0.1561
0.5045	21.6381	-0.1724
0.5045	21.6354	-0.2319
0.5045	21.6354	-0.2157
0.5046	21.6337	-0.1832
0.5047	21.6325	-0.1994
0.5048	21.6346	-0.2373
0.5048	21.6339	-0.2048
0.5050	21.6305	-0.2102
0.5050	21.6313	-0.1886
0.5050	21.6312	-0.1940
0.5050	21.6345	-0.2264
0.5051	21.6311	-0.1778
0.5051	21.6314	-0.2211
0.5051	21.6328	-0.1615
0.5053	21.6342	-0.1669
0.5055	21.6312	-0.2427
0.5061	21.6292	-0.1751
0.5061	21.6235	-0.1642
0.5067	21.6227	-0.2210
0.5068	21.6181	-0.2101
0.5069	21.6183	-0.1993
0.5069	21.6213	-0.1831
0.5069	21.6224	-0.2047
0.5069	21.6189	-0.1885
0.5070	21.6231	-0.2372
0.5070	21.6237	-0.2426
0.5071	21.6220	-0.2263
0.5071	21.6210	-0.1939
0.5072	21.6223	-0.1614
0.5072	21.6181	-0.1777
0.5072	21.6189	-0.2317
0.5072	21.6192	-0.2155
0.5074	21.6195	-0.1722
0.5075	21.6225	-0.1560
0.5077	21.6328	-0.1697
0.5082	21.6164	-0.1668
0.5085	21.6126	-0.2074
0.5085	21.6116	-0.1749
0.5086	21.6122	-0.2344
0.5087	21.6133	-0.2235
0.5087	21.6080	-0.1856
0.5087	21.6097	-0.1641
0.5087	21.6090	-0.2019
0.5087	21.6113	-0.2290
0.5091	21.6090	-0.2262
0.5091	21.6063	-0.2100
0.5092	21.6060	-0.1776
0.5092	21.5975	-0.1613
0.5092	21.6080	-0.1559
0.5092	21.6077	-0.2316
0.5093	21.6041	-0.1991
0.5093	21.6089	-0.1721
0.5093	21.6058	-0.2208
0.5094	21.6024	-0.1830
0.5095	21.6028	-0.1883
0.5095	21.6082	-0.2424
0.5095	21.6027	-0.2153
0.5096	21.6064	-0.2045
0.5097	21.6045	-0.1938
0.5099	21.6054	-0.1667
0.5100	21.6036	-0.2370
0.5103	21.5990	-0.1640
0.5103	21.6026	-0.1694
0.5104	21.6013	-0.2180
0.5105	21.5979	-0.1748
0.5107	21.5960	-0.1964
0.5107	21.5989	-0.2126
0.5109	21.5979	-0.2396
0.5109	21.5953	-0.1910
0.5109	21.5963	-0.2072
0.5109	21.5964	-0.1855
0.5109	21.5969	-0.2342
0.5109	21.5983	-0.2450
0.5111	21.5962	-0.2234
0.5111	21.5948	-0.2288
0.5112	21.5899	-0.2017
0.5113	21.5881	-0.1558
0.5115	21.5900	-0.2152
0.5115	21.5922	-0.2315
0.5115	21.5925	-0.1720
0.5116	21.5867	-0.1882
0.5117	21.5887	-0.2098
0.5117	21.5919	-0.2368
0.5117	21.5896	-0.1828
0.5117	21.5912	-0.2044
0.5118	21.5911	-0.1936
0.5119	21.5918	-0.1666
0.5119	21.5891	-0.1612
0.5119	21.5913	-0.2260
0.5120	21.5870	-0.2206
0.5120	21.5904	-0.2422
0.5120	21.5885	-0.1774
0.5122	21.5844	-0.1989
0.5127	21.5830	-0.2071
0.5127	21.5855	-0.2233
0.5130	21.5843	-0.2124
0.5131	21.5842	-0.2287
0.5131	21.5798	-0.1963
0.5131	21.5836	-0.2179
0.5131	21.5845	-0.2341
0.5131	21.5865	-0.1693
0.5132	21.5843	-0.2449
0.5132	21.5800	-0.2017
0.5133	21.5802	-0.1638
0.5133	21.5807	-0.2394
0.5135	21.5782	-0.1908
0.5135	21.5796	-0.1854
0.5135	21.5795	-0.1747
