Положение X	Положение Y	Положение Z
-0.0209	21.6598	-0.2107
-0.0208	21.6558	-0.2478
-0.0207	21.6582	-0.1983
-0.0206	21.6585	-0.2231
-0.0205	21.6571	-0.2045
-0.0203	21.6556	-0.2355
-0.0202	21.6547	-0.2293
-0.0202	21.6553	-0.2417
-0.0200	21.6568	-0.1922
-0.0197	21.6542	-0.1859
-0.0193	21.6556	-0.2169
-0.0178	21.6469	-0.2415
-0.0175	21.6470	-0.2044
-0.0174	21.6478	-0.2354
-0.0173	21.6419	-0.1797
-0.0172	21.6463	-0.2168
-0.0172	21.6438	-0.1858
-0.0171	21.6440	-0.2477
-0.0171	21.6372	-0.1734
-0.0171	21.6463	-0.1921
-0.0169	21.6458	-0.2230
-0.0169	21.6448	-0.2106
-0.0168	21.6446	-0.2291
-0.0168	21.6439	-0.1982
-0.0145	21.6346	-0.1920
-0.0144	21.6282	-0.1734
-0.0144	21.6356	-0.2476
-0.0143	21.6324	-0.1857
-0.0143	21.6352	-0.2167
-0.0141	21.6336	-0.2229
-0.0141	21.6335	-0.2352
-0.0141	21.6333	-0.2290
-0.0139	21.6315	-0.2105
-0.0139	21.6310	-0.2042
-0.0138	21.6296	-0.1795
-0.0138	21.6316	-0.1981
-0.0137	21.6330	-0.2413
-0.0137	21.6224	-0.1671
-0.0130	21.6306	-0.2012
-0.0117	21.6265	-0.2475
-0.0117	21.6206	-0.2104
-0.0117	21.6175	-0.1733
-0.0116	21.6082	-0.1609
-0.0115	21.6210	-0.2227
-0.0114	21.6214	-0.2351
-0.0114	21.6197	-0.1918
-0.0114	21.6178	-0.1979
-0.0113	21.6109	-0.1671
-0.0113	21.6227	-0.2412
-0.0110	21.6190	-0.2289
-0.0110	21.6177	-0.2041
-0.0109	21.6189	-0.2165
-0.0107	21.6144	-0.1794
-0.0106	21.6152	-0.1856
-0.0099	21.5970	-0.1576
-0.0095	21.6111	-0.2010
-0.0087	21.6077	-0.2411
-0.0086	21.6066	-0.2349
-0.0084	21.5978	-0.1670
-0.0084	21.5864	-0.1483
-0.0082	21.5942	-0.1608
-0.0081	21.6016	-0.2164
-0.0081	21.6010	-0.1793
-0.0080	21.6011	-0.2040
-0.0080	21.6010	-0.1855
-0.0078	21.6017	-0.2102
-0.0077	21.6031	-0.2473
-0.0077	21.6011	-0.2225
-0.0077	21.6004	-0.2287
-0.0076	21.5979	-0.1978
-0.0076	21.5990	-0.1916
-0.0074	21.5883	-0.1545
-0.0074	21.5977	-0.1731
-0.0073	21.5889	-0.1576
-0.0068	21.5944	-0.2070
-0.0068	21.5971	-0.1947
-0.0067	21.5951	-0.2255
-0.0066	21.5963	-0.2008
-0.0065	21.5951	-0.1885
-0.0064	21.5953	-0.2440
-0.0064	21.5948	-0.2379
-0.0064	21.5938	-0.2132
-0.0064	21.5935	-0.2193
-0.0064	21.5931	-0.1823
-0.0064	21.5914	-0.1761
-0.0064	21.5899	-0.1699
-0.0064	21.5957	-0.2317
-0.0062	21.5932	-0.2502
-0.0054	21.5864	-0.2162
-0.0054	21.5720	-0.1421
-0.0051	21.5864	-0.2470
-0.0050	21.5835	-0.1853
-0.0049	21.5867	-0.2286
-0.0049	21.5842	-0.1915
-0.0049	21.5835	-0.1792
-0.0048	21.5814	-0.1730
-0.0048	21.5834	-0.2007
-0.0048	21.5759	-0.1544
-0.0047	21.5711	-0.1482
-0.0047	21.5819	-0.2100
-0.0046	21.5830	-0.1884
-0.0046	21.5828	-0.2223
-0.0046	21.5792	-0.1668
-0.0045	21.5827	-0.1976
-0.0043	21.5758	-0.1606
-0.0043	21.5793	-0.2346
-0.0042	21.5812	-0.2408
-0.0042	21.5804	-0.2038
-0.0040	21.5798	-0.2439
-0.0039	21.5764	-0.2068
-0.0038	21.5761	-0.2130
-0.0037	21.5775	-0.2377
-0.0037	21.5774	-0.1698
-0.0036	21.5764	-0.2315
-0.0036	21.5759	-0.1760
-0.0036	21.5778	-0.2192
-0.0035	21.5777	-0.1822
-0.0035	21.5710	-0.1575
-0.0035	21.5766	-0.1945
-0.0034	21.5786	-0.2254
-0.0034	21.5776	-0.2500
-0.0033	21.5744	-0.1637
-0.0024	21.5691	-0.2099
-0.0024	21.5696	-0.2222
-0.0023	21.5700	-0.2469
-0.0023	21.5677	-0.1728
-0.0023	21.5649	-0.1543
-0.0022	21.5671	-0.1605
-0.0021	21.5687	-0.1975
-0.0021	21.5653	-0.1667
-0.0021	21.5674	-0.2036
-0.0021	21.5611	-0.1481
-0.0020	21.5684	-0.1914
-0.0020	21.5543	-0.1296
-0.0019	21.5676	-0.2406
-0.0019	21.5648	-0.2283
-0.0019	21.5565	-0.1358
-0.0017	21.5670	-0.2345
-0.0017	21.5650	-0.1883
-0.0017	21.5622	-0.2159
-0.0017	21.5579	-0.1420
-0.0016	21.5633	-0.1790
-0.0015	21.5635	-0.1851
-0.0013	21.5639	-0.2252
-0.0013	21.5628	-0.2005
-0.0012	21.5630	-0.2375
-0.0010	21.5621	-0.1697
-0.0009	21.5627	-0.2314
-0.0008	21.5587	-0.2066
-0.0007	21.5593	-0.1635
-0.0006	21.5568	-0.1820
-0.0006	21.5557	-0.1574
-0.0005	21.5603	-0.1759
-0.0005	21.5590	-0.1943
-0.0004	21.5568	-0.2190
-0.0004	21.5572	-0.2128
-0.0002	21.5600	-0.2498
-0.0001	21.5567	-0.2436
0.0004	21.5552	-0.2405
0.0005	21.5533	-0.1666
0.0007	21.5430	-0.1296
0.0009	21.5405	-0.1234
0.0009	21.5464	-0.1604
0.0010	21.5474	-0.1481
0.0010	21.5523	-0.1789
0.0010	21.5506	-0.2035
0.0010	21.5532	-0.2159
0.0010	21.5502	-0.1850
0.0012	21.5458	-0.1419
0.0012	21.5511	-0.2343
0.0013	21.5467	-0.2096
0.0013	21.5547	-0.2467
0.0013	21.5503	-0.2220
0.0014	21.5430	-0.1542
0.0014	21.5475	-0.1727
0.0015	21.5522	-0.2282
0.0018	21.5462	-0.1973
0.0019	21.5467	-0.1696
0.0019	21.5475	-0.2065
0.0020	21.5474	-0.1634
0.0021	21.5452	-0.1912
0.0021	21.5486	-0.2312
0.0022	21.5456	-0.1573
0.0022	21.5462	-0.1881
0.0022	21.5453	-0.1758
0.0023	21.5446	-0.1942
0.0023	21.5463	-0.2127
0.0024	21.5461	-0.2188
0.0024	21.5468	-0.2373
0.0025	21.5443	-0.2003
0.0025	21.5517	-0.2497
0.0025	21.5502	-0.2435
0.0026	21.5444	-0.2250
0.0030	21.5434	-0.1819
0.0043	21.5436	-0.2342
0.0043	21.5467	-0.2466
0.0048	21.5442	-0.2404
0.0052	21.5450	-0.2496
0.0054	21.5451	-0.2435
