Положение X	Положение Y	Положение Z
-0.2381	21.6475	-0.2178
-0.2381	21.6464	-0.2124
-0.2380	21.6512	-0.2070
-0.2377	21.6493	-0.2015
-0.2377	21.6520	-0.1853
-0.2376	21.6497	-0.1961
-0.2357	21.6513	-0.1420
-0.2356	21.6446	-0.2015
-0.2356	21.6514	-0.1474
-0.2355	21.6465	-0.1799
-0.2355	21.6504	-0.1583
-0.2354	21.6508	-0.1637
-0.2354	21.6394	-0.2177
-0.2353	21.6450	-0.1961
-0.2352	21.6484	-0.1365
-0.2352	21.6473	-0.1690
-0.2351	21.6387	-0.2068
-0.2351	21.6457	-0.1907
-0.2350	21.6366	-0.2123
-0.2350	21.6488	-0.1853
-0.2349	21.6493	-0.1744
-0.2348	21.6469	-0.1095
-0.2335	21.6321	-0.1986
-0.2329	21.6438	-0.1582
-0.2329	21.6405	-0.1744
-0.2328	21.6422	-0.1365
-0.2327	21.6337	-0.1906
-0.2327	21.6468	-0.1258
-0.2327	21.6446	-0.1420
-0.2326	21.6337	-0.1960
-0.2326	21.6332	-0.2014
-0.2326	21.6378	-0.1636
-0.2326	21.6384	-0.1689
-0.2324	21.6322	-0.2122
-0.2324	21.6285	-0.2067
-0.2324	21.6274	-0.2176
-0.2324	21.6354	-0.1473
-0.2323	21.6422	-0.1203
-0.2323	21.6382	-0.1527
-0.2323	21.6424	-0.1149
-0.2322	21.6326	-0.1798
-0.2314	21.6293	-0.1987
-0.2313	21.6284	-0.2040
-0.2313	21.6469	-0.1095
-0.2312	21.6415	-0.1041
-0.2311	21.6265	-0.2149
-0.2310	21.6287	-0.1851
-0.2309	21.6237	-0.2202
-0.2309	21.6251	-0.2094
-0.2307	21.6271	-0.1932
-0.2307	21.6270	-0.1824
-0.2306	21.6300	-0.1878
-0.2305	21.6319	-0.1608
-0.2305	21.6293	-0.1770
-0.2303	21.6392	-0.1149
-0.2302	21.6292	-0.1635
-0.2300	21.6360	-0.1257
-0.2300	21.6254	-0.1526
-0.2299	21.6353	-0.1311
-0.2299	21.6326	-0.1473
-0.2299	21.6420	-0.1041
-0.2299	21.6257	-0.1905
-0.2299	21.6252	-0.1742
-0.2299	21.6394	-0.0986
-0.2298	21.6168	-0.2121
-0.2298	21.6306	-0.1689
-0.2297	21.6353	-0.1365
-0.2297	21.6266	-0.1797
-0.2296	21.6199	-0.2175
-0.2296	21.6250	-0.2013
-0.2295	21.6269	-0.1851
-0.2294	21.6395	-0.1095
-0.2294	21.6139	-0.2066
-0.2294	21.6283	-0.1419
-0.2290	21.6212	-0.1959
-0.2290	21.6255	-0.1581
-0.2286	21.6180	-0.2094
-0.2283	21.6230	-0.1662
-0.2283	21.6069	-0.1201
-0.2282	21.6174	-0.2201
-0.2282	21.6168	-0.1986
-0.2281	21.6159	-0.2147
-0.2281	21.6139	-0.2039
-0.2281	21.6189	-0.1931
-0.2280	21.6288	-0.1445
-0.2280	21.6205	-0.1823
-0.2280	21.6251	-0.1499
-0.2279	21.6197	-0.1715
-0.2279	21.6190	-0.1877
-0.2279	21.6216	-0.1553
-0.2278	21.6256	-0.1337
-0.2277	21.6194	-0.1769
-0.2277	21.6251	-0.1391
-0.2277	21.6214	-0.1608
-0.2274	21.6182	-0.1526
-0.2274	21.6336	-0.1040
-0.2274	21.6236	-0.1473
-0.2273	21.6109	-0.2174
-0.2273	21.6224	-0.1418
-0.2273	21.6268	-0.1094
-0.2272	21.6217	-0.1364
-0.2271	21.6133	-0.1796
-0.2270	21.6173	-0.1634
-0.2268	21.6281	-0.1148
-0.2268	21.6177	-0.1580
-0.2267	21.6157	-0.1958
-0.2267	21.6233	-0.1310
-0.2267	21.6085	-0.2120
-0.2266	21.6240	-0.1202
-0.2265	21.6246	-0.1256
-0.2265	21.6072	-0.2011
-0.2264	21.6143	-0.1904
-0.2264	21.6199	-0.0986
-0.2263	21.6166	-0.1742
-0.2263	21.6075	-0.1850
-0.2263	21.6125	-0.1687
-0.2258	21.6214	-0.1283
-0.2257	21.6058	-0.2065
-0.2255	21.6089	-0.1877
-0.2254	21.5983	-0.2038
-0.2254	21.6205	-0.1120
-0.2254	21.6054	-0.1930
-0.2254	21.6133	-0.1715
-0.2254	21.6243	-0.1175
-0.2254	21.5996	-0.2092
-0.2252	21.6170	-0.1445
-0.2252	21.6093	-0.1768
-0.2251	21.6172	-0.1228
-0.2251	21.6189	-0.1364
-0.2251	21.6114	-0.1660
-0.2251	21.6109	-0.1498
-0.2250	21.6024	-0.2200
-0.2250	21.5981	-0.2146
-0.2250	21.6140	-0.1552
-0.2249	21.6162	-0.1337
-0.2249	21.6084	-0.1606
-0.2249	21.6078	-0.1822
-0.2249	21.6158	-0.1391
-0.2248	21.6007	-0.1983
-0.2245	21.6138	-0.1256
-0.2244	21.6114	-0.1687
-0.2244	21.6035	-0.1903
-0.2244	21.6112	-0.1580
-0.2244	21.6072	-0.1741
-0.2243	21.6043	-0.1957
-0.2243	21.6120	-0.1418
-0.2243	21.6205	-0.1040
-0.2243	21.6187	-0.1094
-0.2243	21.6010	-0.2011
-0.2242	21.6086	-0.1471
-0.2242	21.6151	-0.1310
-0.2241	21.6075	-0.1633
-0.2241	21.6069	-0.1850
-0.2241	21.5983	-0.2119
-0.2240	21.6136	-0.1526
-0.2239	21.6041	-0.1795
-0.2239	21.5961	-0.2064
-0.2239	21.6121	-0.1148
-0.2238	21.6166	-0.1201
-0.2237	21.5930	-0.2172
-0.2232	21.5965	-0.1984
-0.2230	21.6079	-0.1336
-0.2229	21.5990	-0.1714
-0.2228	21.6036	-0.1660
-0.2228	21.6133	-0.1120
-0.2228	21.6122	-0.1283
-0.2227	21.6065	-0.1444
-0.2227	21.6042	-0.1552
-0.2227	21.6141	-0.0985
-0.2226	21.6042	-0.1606
-0.2226	21.5962	-0.1929
-0.2226	21.6048	-0.1390
-0.2225	21.6042	-0.1498
-0.2224	21.5969	-0.1767
-0.2223	21.6110	-0.1174
-0.2223	21.6081	-0.1228
-0.2222	21.5933	-0.2091
-0.2222	21.5900	-0.2037
-0.2222	21.5924	-0.1821
-0.2221	21.5954	-0.1875
-0.2220	21.5908	-0.2145
-0.2219	21.5920	-0.2198
-0.2217	21.6049	-0.1201
-0.2217	21.5874	-0.2064
-0.2216	21.5935	-0.1794
-0.2216	21.6026	-0.1309
-0.2216	21.6016	-0.1255
-0.2215	21.6002	-0.1471
-0.2215	21.6057	-0.1147
-0.2215	21.5909	-0.1902
-0.2215	21.5964	-0.1633
-0.2214	21.5924	-0.1740
-0.2214	21.5899	-0.2010
-0.2214	21.5898	-0.2118
-0.2214	21.5992	-0.1524
-0.2214	21.5964	-0.1686
-0.2214	21.6113	-0.0985
-0.2213	21.6073	-0.1039
-0.2213	21.6080	-0.1093
-0.2213	21.5906	-0.1956
-0.2212	21.5965	-0.1579
-0.2211	21.5862	-0.2172
-0.2210	21.5983	-0.1362
-0.2210	21.5936	-0.1713
-0.2209	21.5991	-0.1417
-0.2209	21.5993	-0.1443
-0.2203	21.5849	-0.1848
-0.2201	21.5987	-0.1227
-0.2198	21.5832	-0.1982
-0.2197	21.5809	-0.2144
-0.2197	21.5891	-0.1821
-0.2197	21.5956	-0.1281
-0.2196	21.5988	-0.1119
-0.2196	21.5974	-0.1390
-0.2196	21.5805	-0.2198
-0.2196	21.5827	-0.2090
-0.2195	21.5926	-0.1335
-0.2195	21.5915	-0.1551
-0.2194	21.5848	-0.1928
-0.2194	21.5912	-0.1605
-0.2194	21.5888	-0.1658
-0.2194	21.5865	-0.1766
-0.2193	21.5822	-0.2036
-0.2193	21.5986	-0.1173
-0.2193	21.5847	-0.1874
-0.2193	21.5927	-0.1497
-0.2190	21.5928	-0.1524
-0.2190	21.5858	-0.1685
-0.2190	21.5940	-0.1417
-0.2188	21.5914	-0.1470
-0.2188	21.5745	-0.2170
-0.2187	21.5985	-0.1362
-0.2187	21.5835	-0.1794
-0.2187	21.5932	-0.1093
-0.2187	21.5941	-0.1200
-0.2186	21.5898	-0.1578
-0.2186	21.5953	-0.1147
-0.2186	21.5776	-0.2008
-0.2185	21.5840	-0.1632
-0.2185	21.5736	-0.2062
-0.2185	21.6017	-0.1039
-0.2184	21.5950	-0.0984
-0.2184	21.5769	-0.1955
-0.2183	21.5896	-0.1308
-0.2182	21.5927	-0.1254
-0.2182	21.5850	-0.1739
-0.2181	21.5746	-0.2117
-0.2181	21.5817	-0.1847
-0.2180	21.5802	-0.1901
-0.2172	21.5814	-0.1712
-0.2172	21.5706	-0.2035
-0.2171	21.5805	-0.1496
-0.2170	21.5697	-0.2143
-0.2170	21.5886	-0.1173
-0.2170	21.5747	-0.1874
-0.2169	21.5821	-0.1659
-0.2169	21.5812	-0.1604
-0.2169	21.5657	-0.2196
-0.2168	21.5857	-0.1442
-0.2168	21.5855	-0.1119
-0.2168	21.5706	-0.2088
-0.2168	21.5872	-0.1389
-0.2168	21.5846	-0.1335
-0.2168	21.5875	-0.1281
-0.2167	21.5858	-0.1226
-0.2167	21.5778	-0.1766
-0.2167	21.5767	-0.1927
-0.2167	21.5810	-0.1550
-0.2166	21.5727	-0.1981
-0.2166	21.5734	-0.1819
-0.2163	21.5894	-0.1146
-0.2162	21.5784	-0.1685
-0.2162	21.5841	-0.1361
-0.2161	21.5821	-0.1416
-0.2160	21.5741	-0.1738
-0.2160	21.5766	-0.1577
-0.2160	21.5819	-0.1254
-0.2159	21.5796	-0.1307
-0.2159	21.5670	-0.1954
-0.2158	21.5647	-0.2116
-0.2158	21.5705	-0.2008
-0.2158	21.5698	-0.1900
-0.2158	21.5797	-0.1523
-0.2158	21.5823	-0.1200
-0.2157	21.5855	-0.1092
-0.2156	21.5598	-0.2061
-0.2156	21.5722	-0.1631
-0.2156	21.5904	-0.0984
-0.2155	21.5787	-0.1469
-0.2155	21.5676	-0.1792
-0.2155	21.5865	-0.1038
-0.2154	21.5693	-0.1846
-0.2153	21.5727	-0.1550
-0.2152	21.5569	-0.2169
-0.2151	21.5565	-0.2222
-0.2148	21.5650	-0.1980
-0.2146	21.5768	-0.1334
-0.2145	21.5670	-0.1657
-0.2145	21.5769	-0.1496
-0.2145	21.5776	-0.1388
-0.2143	21.5656	-0.1603
-0.2143	21.5682	-0.1711
-0.2142	21.5783	-0.1172
-0.2142	21.5662	-0.1765
-0.2142	21.5737	-0.1442
-0.2140	21.5633	-0.1926
-0.2140	21.5765	-0.1280
-0.2139	21.5608	-0.1818
-0.2138	21.5783	-0.1118
-0.2138	21.5537	-0.2194
-0.2138	21.5522	-0.2087
-0.2138	21.5545	-0.2034
-0.2138	21.5804	-0.1226
-0.2137	21.5590	-0.1872
-0.2136	21.5506	-0.2141
-0.2134	21.5507	-0.2114
-0.2134	21.5557	-0.1899
-0.2133	21.5746	-0.1199
-0.2132	21.5758	-0.1146
-0.2132	21.5732	-0.1253
-0.2131	21.5692	-0.1307
-0.2131	21.5626	-0.1737
-0.2130	21.5477	-0.2222
-0.2130	21.5703	-0.1360
-0.2130	21.5575	-0.1791
-0.2129	21.5557	-0.1845
-0.2129	21.5471	-0.2060
-0.2128	21.5614	-0.1630
-0.2128	21.5673	-0.1415
-0.2127	21.5466	-0.2168
-0.2126	21.5613	-0.1468
-0.2126	21.5635	-0.1495
-0.2126	21.5654	-0.1522
-0.2126	21.5479	-0.1952
-0.2125	21.5509	-0.2006
-0.2122	21.5588	-0.1576
-0.2122	21.5693	-0.1091
-0.2121	21.5512	-0.1683
-0.2118	21.5698	-0.1226
-0.2117	21.5693	-0.1037
-0.2117	21.5750	-0.0984
-0.2116	21.5673	-0.1280
-0.2116	21.5670	-0.1172
-0.2116	21.5689	-0.1118
-0.2114	21.5436	-0.1978
-0.2113	21.5433	-0.1924
-0.2113	21.5612	-0.1441
-0.2113	21.5416	-0.2086
-0.2113	21.5475	-0.1709
-0.2112	21.5646	-0.1334
-0.2112	21.5457	-0.1817
-0.2112	21.5628	-0.1387
-0.2111	21.5365	-0.2140
-0.2110	21.5488	-0.1601
-0.2110	21.5421	-0.1871
-0.2109	21.5475	-0.1656
-0.2109	21.5460	-0.1763
-0.2108	21.5374	-0.2032
-0.2108	21.5533	-0.1548
-0.2105	21.5537	-0.1414
-0.2105	21.5633	-0.1198
-0.2102	21.5402	-0.1790
-0.2102	21.5521	-0.1468
-0.2102	21.5449	-0.1629
-0.2102	21.5549	-0.1359
-0.2102	21.5644	-0.0983
-0.2101	21.5484	-0.1575
-0.2101	21.5436	-0.1682
-0.2101	21.5409	-0.1951
-0.2100	21.5361	-0.2167
-0.2100	21.5515	-0.1521
-0.2099	21.5436	-0.1736
-0.2099	21.5389	-0.1844
-0.2098	21.5536	-0.1252
-0.2098	21.5562	-0.1145
-0.2098	21.5359	-0.2004
-0.2097	21.5579	-0.1037
-0.2097	21.5396	-0.1709
-0.2096	21.5586	-0.1091
-0.2096	21.5411	-0.1898
-0.2096	21.5568	-0.1306
-0.2093	21.5459	-0.1494
-0.2091	21.5564	-0.1171
-0.2085	21.5410	-0.1386
-0.2084	21.5407	-0.1439
-0.2083	21.5526	-0.1117
-0.2082	21.5495	-0.1224
-0.2082	21.5445	-0.1332
-0.2080	21.5438	-0.1278
-0.2079	21.5461	-0.1252
-0.2076	21.5448	-0.1305
-0.2075	21.5394	-0.1359
-0.2075	21.5398	-0.1467
-0.2074	21.5476	-0.1198
-0.2074	21.5469	-0.1144
-0.2074	21.5378	-0.1413
-0.2073	21.5375	-0.1520
-0.2072	21.5431	-0.1170
-0.2072	21.5454	-0.1090
-0.2072	21.5411	-0.0982
-0.2072	21.5365	-0.1628
-0.2070	21.5507	-0.1036
-0.2050	21.5367	-0.1144
-0.2049	21.5367	-0.1197
