Положение X	Положение Y	Положение Z
0.1279	21.6689	-0.1888
0.1282	21.6695	-0.2074
0.1283	21.6662	-0.2135
0.1286	21.6679	-0.2259
0.1287	21.6665	-0.2197
0.1309	21.6650	-0.1764
0.1310	21.6621	-0.1888
0.1311	21.6601	-0.2135
0.1311	21.6625	-0.2011
0.1313	21.6624	-0.1949
0.1314	21.6689	-0.1393
0.1314	21.6599	-0.1826
0.1314	21.6660	-0.1640
0.1315	21.6566	-0.2259
0.1316	21.6617	-0.1702
0.1316	21.6640	-0.1516
0.1316	21.6704	-0.1269
0.1317	21.6668	-0.1579
0.1318	21.6609	-0.2073
0.1318	21.6578	-0.2196
0.1319	21.6642	-0.1454
0.1331	21.6612	-0.1547
0.1339	21.6599	-0.1516
0.1340	21.6505	-0.2072
0.1340	21.6511	-0.1825
0.1340	21.6474	-0.2258
0.1342	21.6639	-0.1207
0.1343	21.6652	-0.1269
0.1343	21.6655	-0.1083
0.1343	21.6448	-0.2195
0.1343	21.6555	-0.1578
0.1344	21.6600	-0.1392
0.1345	21.6604	-0.1331
0.1345	21.6522	-0.1639
0.1346	21.6654	-0.1021
0.1346	21.6508	-0.1948
0.1346	21.6458	-0.2133
0.1346	21.6535	-0.1453
0.1346	21.6511	-0.1701
0.1347	21.6493	-0.1886
0.1348	21.6496	-0.1763
0.1350	21.6628	-0.1145
0.1353	21.6467	-0.2010
0.1357	21.6543	-0.1546
0.1365	21.6439	-0.1701
0.1368	21.6358	-0.2132
0.1368	21.6391	-0.2009
0.1370	21.6395	-0.1762
0.1370	21.6404	-0.1886
0.1370	21.6526	-0.1268
0.1371	21.6383	-0.2071
0.1372	21.6387	-0.1824
0.1372	21.6508	-0.1330
0.1372	21.6465	-0.1577
0.1372	21.6524	-0.1021
0.1373	21.6312	-0.2194
0.1373	21.6545	-0.1083
0.1374	21.6436	-0.1638
0.1374	21.6488	-0.1206
0.1374	21.6497	-0.1391
0.1374	21.6472	-0.1453
0.1376	21.6482	-0.1515
0.1376	21.6404	-0.1947
0.1376	21.6304	-0.2256
0.1386	21.6427	-0.1143
0.1392	21.6267	-0.2225
0.1393	21.6265	-0.2162
0.1394	21.6392	-0.1545
0.1398	21.6312	-0.1761
0.1399	21.6269	-0.2131
0.1400	21.6282	-0.2008
0.1400	21.6283	-0.1885
0.1402	21.6386	-0.1020
0.1402	21.6227	-0.2193
0.1402	21.6396	-0.1206
0.1403	21.6366	-0.1514
0.1403	21.6236	-0.2255
0.1403	21.6342	-0.1638
0.1403	21.6372	-0.1390
0.1404	21.6363	-0.1452
0.1404	21.6373	-0.1082
0.1405	21.6343	-0.1576
0.1405	21.6329	-0.1329
0.1405	21.6365	-0.1267
0.1407	21.6296	-0.1700
0.1407	21.6281	-0.1946
0.1409	21.6361	-0.1143
0.1410	21.6277	-0.2070
0.1410	21.6275	-0.1823
0.1416	21.6322	-0.1545
0.1417	21.6215	-0.2162
0.1418	21.6272	-0.1730
0.1418	21.6167	-0.2224
0.1419	21.6239	-0.1977
0.1419	21.6222	-0.2100
0.1419	21.6197	-0.2038
0.1419	21.6303	-0.1606
0.1419	21.6232	-0.1853
0.1422	21.6237	-0.1791
