Положение X	Положение Y	Положение Z
0.4462	21.6572	-0.2150
0.4465	21.6575	-0.1789
0.4467	21.6562	-0.2186
0.4467	21.6545	-0.1897
0.4467	21.6501	-0.2041
0.4467	21.6566	-0.1825
0.4467	21.6566	-0.1969
0.4468	21.6572	-0.2114
0.4471	21.6549	-0.1753
0.4472	21.6573	-0.2258
0.4481	21.6560	-0.1681
0.4489	21.6537	-0.2294
0.4490	21.6563	-0.2150
0.4491	21.6550	-0.1789
0.4495	21.6553	-0.2222
0.4497	21.6549	-0.1860
0.4498	21.6565	-0.2078
0.4499	21.6529	-0.1933
0.4501	21.6557	-0.1717
0.4502	21.6556	-0.2005
0.4502	21.6543	-0.2258
0.4502	21.6544	-0.2186
0.4503	21.6532	-0.2330
0.4506	21.6533	-0.1897
0.4506	21.6545	-0.1681
0.4508	21.6531	-0.1753
0.4508	21.6525	-0.2114
0.4510	21.6533	-0.1825
0.4512	21.6530	-0.1969
0.4512	21.6521	-0.2041
0.4527	21.6520	-0.1860
0.4527	21.6537	-0.2222
0.4528	21.6513	-0.1788
0.4530	21.6523	-0.2077
0.4531	21.6516	-0.1717
0.4533	21.6513	-0.1680
0.4535	21.6512	-0.1933
0.4535	21.6525	-0.2005
0.4535	21.6498	-0.2330
0.4537	21.6524	-0.2294
0.4539	21.6513	-0.1753
0.4542	21.6492	-0.1896
0.4543	21.6520	-0.2150
0.4545	21.6515	-0.2114
0.4546	21.6496	-0.1825
0.4548	21.6506	-0.2041
0.4549	21.6507	-0.2185
0.4551	21.6507	-0.1969
0.4554	21.6496	-0.2258
0.4560	21.6503	-0.1716
0.4561	21.6488	-0.2004
0.4564	21.6493	-0.2294
0.4566	21.6488	-0.2077
0.4567	21.6496	-0.2149
0.4568	21.6480	-0.1860
0.4568	21.6480	-0.1933
0.4570	21.6499	-0.2221
0.4571	21.6477	-0.1788
0.4571	21.6466	-0.1896
0.4573	21.6479	-0.2257
0.4574	21.6472	-0.1824
0.4574	21.6479	-0.1969
0.4575	21.6481	-0.2113
0.4576	21.6477	-0.2041
0.4578	21.6473	-0.2185
0.4583	21.6466	-0.1752
0.4587	21.6461	-0.1680
0.4587	21.6480	-0.2330
0.4592	21.6456	-0.2149
0.4599	21.6450	-0.2293
0.4601	21.6449	-0.1788
0.4601	21.6452	-0.1932
0.4603	21.6464	-0.2077
0.4606	21.6436	-0.2221
0.4606	21.6447	-0.2004
0.4608	21.6454	-0.1716
0.4608	21.6441	-0.1860
0.4609	21.6462	-0.2257
0.4612	21.6436	-0.2329
0.4613	21.6438	-0.1680
0.4613	21.6446	-0.2185
0.4617	21.6436	-0.1968
0.4617	21.6457	-0.2113
0.4617	21.6444	-0.1752
0.4618	21.6431	-0.1896
0.4620	21.6446	-0.1824
0.4623	21.6444	-0.2041
0.4633	21.6415	-0.1788
0.4633	21.6407	-0.1859
0.4634	21.6447	-0.2221
0.4635	21.6423	-0.1932
0.4638	21.6429	-0.2076
0.4639	21.6406	-0.2004
0.4640	21.6432	-0.1716
0.4642	21.6424	-0.2293
0.4643	21.6422	-0.1680
0.4646	21.6420	-0.2149
0.4646	21.6408	-0.2329
0.4647	21.6415	-0.1751
0.4649	21.6411	-0.2184
0.4649	21.6415	-0.1896
0.4651	21.6427	-0.1968
0.4651	21.6437	-0.1824
0.4651	21.6443	-0.2113
0.4654	21.6418	-0.2041
0.4658	21.6413	-0.2257
0.4666	21.6406	-0.2004
0.4670	21.6398	-0.1716
0.4671	21.6384	-0.1859
0.4671	21.6396	-0.2076
0.4672	21.6381	-0.2292
0.4674	21.6393	-0.1932
0.4677	21.6405	-0.2220
0.4677	21.6386	-0.2148
0.4679	21.6399	-0.1787
0.4679	21.6377	-0.1968
0.4680	21.6388	-0.1895
0.4681	21.6392	-0.2112
0.4681	21.6398	-0.1823
0.4681	21.6389	-0.2040
0.4685	21.6365	-0.2184
0.4686	21.6365	-0.2328
0.4687	21.6379	-0.2256
0.4688	21.6375	-0.1679
0.4692	21.6379	-0.1752
0.4700	21.6376	-0.2148
0.4706	21.6369	-0.2292
0.4708	21.6344	-0.1931
0.4708	21.6379	-0.2220
0.4709	21.6364	-0.2076
0.4709	21.6339	-0.1787
0.4712	21.6339	-0.2003
0.4713	21.6361	-0.1715
0.4713	21.6342	-0.1859
0.4714	21.6363	-0.2256
0.4722	21.6363	-0.2328
0.4724	21.6349	-0.1823
0.4724	21.6336	-0.1895
0.4725	21.6356	-0.1679
0.4725	21.6356	-0.2040
0.4726	21.6352	-0.2184
0.4727	21.6359	-0.2112
0.4728	21.6348	-0.1967
0.4732	21.6347	-0.1751
0.4733	21.6329	-0.2220
0.4742	21.6340	-0.1931
0.4742	21.6315	-0.1787
0.4743	21.6344	-0.1715
0.4744	21.6321	-0.1859
0.4745	21.6334	-0.2075
0.4748	21.6322	-0.2003
