Положение X	Положение Y	Положение Z
-0.0230	21.6504	-0.1881
-0.0227	21.6516	-0.2354
-0.0222	21.6477	-0.1723
-0.0220	21.6520	-0.1960
-0.0219	21.6490	-0.2432
-0.0217	21.6506	-0.1802
-0.0216	21.6491	-0.2275
-0.0215	21.6495	-0.2196
-0.0214	21.6458	-0.1644
-0.0200	21.6478	-0.1920
-0.0200	21.6470	-0.2393
-0.0196	21.6464	-0.1999
-0.0191	21.6470	-0.1959
-0.0186	21.6456	-0.1802
-0.0183	21.6456	-0.1644
-0.0181	21.6458	-0.2274
-0.0176	21.6450	-0.2353
-0.0174	21.6437	-0.2432
-0.0172	21.6428	-0.2195
-0.0172	21.6424	-0.1723
-0.0172	21.6433	-0.1881
-0.0170	21.6432	-0.1920
-0.0164	21.6437	-0.2393
-0.0160	21.6425	-0.2235
-0.0160	21.6415	-0.1840
-0.0159	21.6416	-0.2313
-0.0159	21.6425	-0.1998
-0.0150	21.6302	-0.1565
-0.0148	21.6411	-0.2274
-0.0145	21.6394	-0.2431
-0.0143	21.6384	-0.1643
-0.0142	21.6385	-0.1723
-0.0141	21.6391	-0.2353
-0.0141	21.6399	-0.1959
-0.0139	21.6429	-0.1802
-0.0139	21.6381	-0.2195
-0.0132	21.6369	-0.1880
-0.0130	21.6377	-0.2392
-0.0128	21.6377	-0.1998
-0.0128	21.6376	-0.2234
-0.0125	21.6372	-0.2313
-0.0122	21.6355	-0.1840
-0.0119	21.6310	-0.1604
-0.0118	21.6375	-0.2155
-0.0117	21.6362	-0.1919
-0.0108	21.6354	-0.2194
-0.0108	21.6375	-0.2352
-0.0108	21.6344	-0.2430
-0.0107	21.6333	-0.1723
-0.0100	21.6339	-0.1643
-0.0098	21.6287	-0.1958
-0.0097	21.6328	-0.1801
-0.0095	21.6322	-0.1880
-0.0094	21.6328	-0.2273
-0.0093	21.6345	-0.2234
-0.0092	21.6303	-0.1565
-0.0087	21.6307	-0.2312
-0.0082	21.6308	-0.2391
-0.0082	21.6265	-0.2154
-0.0081	21.6325	-0.1919
-0.0080	21.6297	-0.1683
-0.0078	21.6311	-0.1997
-0.0078	21.6307	-0.1840
-0.0077	21.6288	-0.1761
-0.0076	21.6257	-0.1604
-0.0071	21.6267	-0.1643
-0.0067	21.6302	-0.1958
-0.0066	21.6276	-0.2273
-0.0065	21.6279	-0.1564
-0.0064	21.6300	-0.2115
-0.0064	21.6293	-0.2194
-0.0063	21.6299	-0.1801
-0.0061	21.6266	-0.1722
-0.0058	21.6254	-0.2429
-0.0057	21.6274	-0.2351
-0.0054	21.6272	-0.1879
-0.0051	21.6267	-0.2154
-0.0051	21.6263	-0.2233
-0.0048	21.6237	-0.1604
-0.0046	21.6352	-0.1919
-0.0046	21.6240	-0.1839
-0.0045	21.6242	-0.1682
-0.0044	21.6273	-0.2390
-0.0043	21.6246	-0.2311
-0.0043	21.6229	-0.1761
-0.0041	21.6253	-0.1997
-0.0032	21.6231	-0.1564
-0.0028	21.6225	-0.2272
-0.0026	21.6231	-0.1722
-0.0026	21.6224	-0.1879
-0.0026	21.6219	-0.1800
-0.0026	21.6207	-0.2193
-0.0025	21.6233	-0.1957
-0.0025	21.6202	-0.2429
-0.0022	21.6201	-0.1642
-0.0021	21.6236	-0.2351
-0.0019	21.6224	-0.2115
-0.0014	21.6220	-0.1996
-0.0012	21.6197	-0.1839
-0.0010	21.6186	-0.1760
-0.0008	21.6204	-0.2390
-0.0005	21.6210	-0.2311
-0.0005	21.6188	-0.2232
-0.0004	21.6214	-0.1682
-0.0004	21.6181	-0.1603
0.0000	21.6174	-0.2468
0.0003	21.6202	-0.2154
0.0006	21.6188	-0.2350
0.0007	21.6165	-0.1721
0.0010	21.6182	-0.2428
0.0013	21.6183	-0.1800
0.0014	21.6166	-0.1878
0.0017	21.6173	-0.2271
0.0017	21.6163	-0.1642
0.0022	21.6175	-0.1957
0.0025	21.6152	-0.2114
0.0026	21.6141	-0.1563
0.0026	21.6139	-0.1838
0.0031	21.6144	-0.2310
0.0032	21.6163	-0.1760
0.0033	21.6158	-0.1682
0.0035	21.6161	-0.2389
0.0035	21.6137	-0.2153
0.0036	21.6153	-0.2232
0.0036	21.6130	-0.2467
0.0040	21.6129	-0.1996
0.0041	21.6116	-0.1603
0.0049	21.6140	-0.1956
0.0052	21.6107	-0.2114
0.0052	21.6113	-0.1641
0.0053	21.6131	-0.2350
0.0057	21.6113	-0.1563
0.0058	21.6100	-0.1720
0.0058	21.6090	-0.2428
0.0058	21.6121	-0.1799
0.0059	21.6103	-0.1878
0.0059	21.6118	-0.2271
0.0061	21.6117	-0.2231
0.0064	21.6094	-0.2310
0.0069	21.6109	-0.2153
0.0070	21.6084	-0.1681
0.0070	21.6064	-0.2466
0.0070	21.6088	-0.1838
0.0073	21.6081	-0.2388
0.0075	21.6088	-0.1602
0.0077	21.6071	-0.1760
0.0077	21.6084	-0.1995
0.0087	21.6057	-0.2113
0.0091	21.6045	-0.1484
0.0091	21.6061	-0.1956
0.0092	21.6069	-0.1720
0.0093	21.6038	-0.1799
0.0093	21.6079	-0.2349
0.0095	21.6043	-0.2427
0.0095	21.6053	-0.1641
0.0098	21.6060	-0.1563
0.0098	21.6057	-0.2270
0.0098	21.6035	-0.1877
0.0106	21.6053	-0.2231
0.0106	21.6054	-0.1995
0.0109	21.6060	-0.2388
0.0110	21.6024	-0.1602
0.0111	21.6041	-0.2152
0.0112	21.6025	-0.1837
0.0113	21.6032	-0.1681
0.0113	21.6049	-0.1916
0.0114	21.6040	-0.1759
0.0123	21.6025	-0.1720
0.0123	21.6035	-0.2309
0.0124	21.5990	-0.2466
0.0124	21.6022	-0.2349
0.0126	21.5996	-0.1483
0.0126	21.6020	-0.1798
0.0130	21.6010	-0.1955
0.0131	21.5979	-0.1562
0.0132	21.6008	-0.2427
0.0136	21.6010	-0.1877
0.0137	21.5983	-0.2269
0.0137	21.6001	-0.1641
0.0139	21.6009	-0.2113
0.0147	21.5984	-0.1680
0.0148	21.5981	-0.2151
0.0149	21.5982	-0.1759
0.0151	21.5974	-0.1602
0.0151	21.5990	-0.2387
0.0152	21.5959	-0.2465
0.0152	21.5960	-0.1837
0.0152	21.5976	-0.2309
0.0152	21.5982	-0.2230
0.0153	21.5978	-0.1916
0.0157	21.5964	-0.1877
0.0157	21.5977	-0.1994
0.0165	21.5949	-0.1955
0.0165	21.5958	-0.1562
0.0165	21.5966	-0.2426
0.0170	21.5945	-0.2269
0.0174	21.5953	-0.1640
0.0174	21.5923	-0.1483
0.0176	21.5956	-0.2348
0.0176	21.5933	-0.1797
0.0178	21.5947	-0.2112
0.0180	21.5944	-0.1719
0.0182	21.5939	-0.1680
0.0184	21.5907	-0.2465
0.0184	21.5939	-0.2308
0.0187	21.5921	-0.1836
0.0187	21.5929	-0.1601
0.0187	21.5933	-0.1758
0.0188	21.5923	-0.2229
0.0190	21.5930	-0.1915
0.0192	21.5948	-0.2387
0.0193	21.5925	-0.2151
0.0194	21.5925	-0.1994
0.0202	21.5904	-0.1562
0.0209	21.5896	-0.1640
0.0213	21.5898	-0.1954
0.0215	21.5894	-0.1719
0.0215	21.5867	-0.1876
0.0216	21.5902	-0.2269
0.0217	21.5871	-0.2425
0.0217	21.5873	-0.1483
0.0217	21.5873	-0.1797
0.0219	21.5896	-0.2347
0.0220	21.5881	-0.2111
0.0221	21.5892	-0.1915
0.0222	21.5869	-0.1836
0.0224	21.5889	-0.1993
0.0226	21.5881	-0.2229
0.0229	21.5889	-0.2307
0.0230	21.5869	-0.1680
0.0230	21.5871	-0.1758
0.0231	21.5876	-0.2150
0.0232	21.5865	-0.2386
0.0233	21.5860	-0.1601
0.0233	21.5871	-0.2072
0.0237	21.5848	-0.1522
0.0241	21.5845	-0.1482
0.0243	21.5827	-0.1404
0.0246	21.5851	-0.2111
0.0246	21.5832	-0.1797
0.0247	21.5837	-0.2347
0.0247	21.5838	-0.1876
0.0250	21.5843	-0.1954
0.0250	21.5844	-0.1639
0.0251	21.5837	-0.2268
0.0254	21.5834	-0.2425
0.0257	21.5817	-0.1718
0.0259	21.5824	-0.1561
0.0261	21.5820	-0.2229
0.0263	21.5827	-0.1915
0.0264	21.5822	-0.2150
0.0265	21.5814	-0.1835
0.0267	21.5823	-0.1601
0.0269	21.5833	-0.2386
0.0270	21.5826	-0.2071
0.0271	21.5819	-0.1679
0.0272	21.5805	-0.1522
0.0274	21.5780	-0.1365
0.0274	21.5808	-0.2307
0.0275	21.5802	-0.1757
0.0278	21.5810	-0.1993
