//X Y Z R G B
-0.003 21.645 -0.177 244 255 0
-0.003 21.646 -0.196 113 255 0
-0.003 21.647 -0.189 157 255 0
-0.003 21.647 -0.220 0 193 61
-0.003 21.646 -0.208 26 255 0
-0.003 21.645 -0.226 0 150 104
-0.003 21.644 -0.245 0 20 234
-0.003 21.644 -0.239 0 63 191
-0.002 21.645 -0.202 69 255 0
-0.002 21.645 -0.183 201 255 0
-0.002 21.647 -0.233 0 106 148
-0.002 21.640 -0.214 0 237 17
-0.001 21.639 -0.199 91 255 0
-0.001 21.637 -0.205 48 255 0
0.000 21.635 -0.177 245 255 0
0.000 21.636 -0.220 0 195 59
0.000 21.635 -0.195 114 255 0
0.000 21.634 -0.245 0 20 234
0.000 21.636 -0.202 70 255 0
0.000 21.635 -0.208 26 255 0
0.000 21.634 -0.189 157 255 0
0.001 21.634 -0.183 201 255 0
0.001 21.634 -0.239 0 64 190
0.001 21.629 -0.226 0 151 103
0.001 21.627 -0.214 0 238 16
0.001 21.633 -0.232 0 108 146
0.002 21.628 -0.205 49 255 0
0.002 21.625 -0.248 0 0 255
0.002 21.635 -0.211 4 255 0
0.002 21.624 -0.192 136 255 0
0.002 21.629 -0.217 0 216 38
0.002 21.625 -0.198 92 255 0
0.003 21.624 -0.183 201 255 0
0.003 21.626 -0.232 0 109 145
0.003 21.625 -0.245 0 21 233
0.003 21.623 -0.208 27 255 0
0.003 21.624 -0.201 71 255 0
0.004 21.624 -0.238 0 65 189
0.004 21.620 -0.214 0 239 15
0.004 21.621 -0.189 158 255 0
0.004 21.622 -0.226 0 152 102
0.004 21.620 -0.220 0 196 58
0.004 21.622 -0.177 246 255 0
0.004 21.619 -0.195 115 255 0
0.004 21.622 -0.223 0 173 81
0.004 21.619 -0.170 255 220 0
0.004 21.614 -0.248 0 0 255
0.004 21.618 -0.198 92 255 0
0.005 21.619 -0.242 0 43 211
0.005 21.614 -0.192 137 255 0
0.005 21.618 -0.235 0 86 168
0.005 21.618 -0.217 0 217 37
0.005 21.617 -0.205 50 255 0
0.005 21.618 -0.180 224 255 0
0.005 21.619 -0.229 0 130 124
0.005 21.617 -0.211 5 255 0
0.006 21.610 -0.170 255 220 0
0.006 21.610 -0.214 0 240 14
0.006 21.612 -0.226 0 153 101
0.007 21.613 -0.232 0 109 145
0.007 21.612 -0.238 0 65 189
0.007 21.609 -0.201 72 255 0
0.007 21.615 -0.245 0 22 232
0.007 21.608 -0.207 28 255 0
0.007 21.607 -0.195 115 255 0
0.007 21.608 -0.189 159 255 0
0.007 21.608 -0.183 202 255 0
0.007 21.609 -0.220 0 197 57
0.007 21.613 -0.177 246 255 0
0.007 21.608 -0.164 255 176 0
0.007 21.611 -0.242 0 44 210
0.007 21.608 -0.217 0 218 36
0.007 21.614 -0.211 6 255 0
0.007 21.607 -0.161 255 154 0
0.008 21.603 -0.192 138 255 0
0.008 21.611 -0.235 0 87 167
0.008 21.605 -0.248 0 0 254
0.008 21.609 -0.223 0 174 80
0.008 21.607 -0.204 50 255 0
0.008 21.608 -0.180 225 255 0
0.008 21.606 -0.186 180 255 0
0.008 21.608 -0.198 93 255 0
0.008 21.608 -0.229 0 131 123
0.009 21.603 -0.220 0 197 57
0.009 21.601 -0.164 255 175 0
0.009 21.602 -0.226 0 153 101
0.009 21.599 -0.214 0 240 14
0.009 21.598 -0.170 255 219 0
0.009 21.599 -0.201 73 255 0
0.010 21.601 -0.238 0 66 188
0.010 21.597 -0.183 203 255 0
0.010 21.601 -0.176 247 255 0
0.010 21.601 -0.232 0 110 144
0.010 21.597 -0.158 255 132 0
0.010 21.599 -0.195 115 255 0
0.010 21.597 -0.189 160 255 0
0.010 21.600 -0.244 0 23 231
0.010 21.598 -0.207 29 255 0
0.010 21.597 -0.204 51 255 0
0.010 21.597 -0.180 225 255 0
0.010 21.598 -0.235 0 88 166
0.010 21.595 -0.248 0 1 253
0.010 21.596 -0.161 255 154 0
0.011 21.599 -0.223 0 175 79
0.011 21.597 -0.241 0 45 209
0.011 21.598 -0.229 0 132 122
0.011 21.594 -0.167 255 197 0
0.011 21.597 -0.217 0 219 35
0.011 21.595 -0.173 255 240 0
0.011 21.592 -0.186 181 255 0
0.011 21.593 -0.210 8 255 0
0.011 21.595 -0.198 94 255 0
0.011 21.593 -0.192 139 255 0
0.012 21.590 -0.226 0 154 100
0.012 21.591 -0.164 255 174 0
0.012 21.592 -0.232 0 110 144
0.012 21.592 -0.244 0 24 230
0.012 21.589 -0.183 204 255 0
0.012 21.587 -0.213 0 241 13
0.013 21.586 -0.152 255 87 0
0.013 21.587 -0.158 255 131 0
0.013 21.588 -0.189 160 255 0
0.013 21.586 -0.195 117 255 0
0.013 21.587 -0.176 248 255 0
0.013 21.590 -0.238 0 68 186
0.013 21.587 -0.220 0 198 56
0.013 21.588 -0.198 94 255 0
0.013 21.584 -0.170 255 219 0
0.014 21.586 -0.161 255 153 0
0.014 21.586 -0.186 182 255 0
0.014 21.585 -0.201 74 255 0
0.014 21.584 -0.167 255 196 0
0.014 21.584 -0.192 139 255 0
0.014 21.586 -0.210 8 255 0
0.014 21.585 -0.207 29 255 0
0.014 21.583 -0.173 255 240 0
0.014 21.586 -0.216 0 220 34
0.014 21.587 -0.235 0 88 166
0.014 21.582 -0.247 0 2 252
0.014 21.583 -0.204 52 255 0
0.014 21.585 -0.229 0 133 121
0.014 21.585 -0.241 0 46 208
0.014 21.584 -0.179 225 255 0
0.015 21.581 -0.223 0 177 77
0.015 21.580 -0.195 117 255 0
0.015 21.578 -0.176 248 255 0
0.015 21.576 -0.146 255 44 0
0.015 21.578 -0.158 255 131 0
0.015 21.580 -0.238 0 68 186
0.016 21.579 -0.244 0 24 230
0.016 21.576 -0.152 255 87 0
0.016 21.578 -0.164 255 174 0
0.016 21.576 -0.189 161 255 0
0.016 21.577 -0.232 0 112 142
0.016 21.574 -0.220 0 198 56
0.016 21.577 -0.201 74 255 0
0.016 21.575 -0.170 255 218 0
0.016 21.576 -0.183 204 255 0
0.016 21.576 -0.226 0 155 99
0.016 21.574 -0.207 30 255 0
0.016 21.575 -0.213 0 243 11
0.016 21.578 -0.229 0 133 121
0.016 21.570 -0.210 9 255 0
0.017 21.576 -0.216 0 221 33
0.017 21.575 -0.241 0 47 207
0.017 21.571 -0.192 139 255 0
0.017 21.574 -0.179 226 255 0
0.017 21.573 -0.235 0 90 164
0.017 21.573 -0.173 255 239 0
0.017 21.574 -0.223 0 177 77
0.017 21.568 -0.247 0 3 251
0.017 21.571 -0.161 255 152 0
0.017 21.572 -0.167 255 196 0
0.017 21.571 -0.186 183 255 0
0.017 21.572 -0.198 96 255 0
0.017 21.571 -0.204 53 255 0
0.018 21.565 -0.219 0 199 55
0.018 21.566 -0.146 255 44 0
0.018 21.566 -0.195 118 255 0
0.018 21.567 -0.176 249 255 0
0.019 21.567 -0.238 0 69 185
0.019 21.564 -0.213 0 243 11
0.019 21.564 -0.201 75 255 0
0.019 21.565 -0.152 255 86 0
0.019 21.566 -0.232 0 112 142
0.019 21.563 -0.226 0 157 97
0.019 21.564 -0.207 31 255 0
0.019 21.566 -0.244 0 25 229
0.019 21.565 -0.164 255 173 0
0.019 21.561 -0.189 162 255 0
0.019 21.563 -0.182 205 255 0
0.019 21.562 -0.170 255 217 0
0.019 21.561 -0.139 255 0 0
0.019 21.561 -0.179 227 255 0
0.019 21.563 -0.158 255 130 0
0.020 21.558 -0.222 0 178 76
0.020 21.559 -0.204 53 255 0
0.020 21.562 -0.241 0 47 207
