Положение X	Положение Y	Положение Z
-0.2680	21.6548	-0.2120
-0.2679	21.6576	-0.2054
-0.2678	21.6578	-0.1988
-0.2676	21.6570	-0.1721
-0.2674	21.6594	-0.1054
-0.2672	21.6595	-0.1587
-0.2671	21.6548	-0.1920
-0.2671	21.6581	-0.1654
-0.2671	21.6580	-0.0987
-0.2671	21.6574	-0.1854
-0.2670	21.6570	-0.1787
-0.2669	21.6572	-0.1821
-0.2647	21.6585	-0.1254
-0.2646	21.6580	-0.1454
-0.2646	21.6550	-0.1987
-0.2646	21.6552	-0.1587
-0.2645	21.6573	-0.1387
-0.2643	21.6596	-0.0987
-0.2643	21.6538	-0.1920
-0.2642	21.6527	-0.2054
-0.2642	21.6609	-0.1188
-0.2641	21.6525	-0.2120
-0.2641	21.6560	-0.1521
-0.2641	21.6607	-0.1054
-0.2641	21.6536	-0.1854
-0.2641	21.6560	-0.1654
-0.2640	21.6549	-0.1721
-0.2640	21.6576	-0.1321
-0.2637	21.6592	-0.1121
-0.2635	21.6503	-0.1787
-0.2630	21.6529	-0.1821
-0.2625	21.6493	-0.2087
-0.2621	21.6574	-0.1054
-0.2620	21.6527	-0.1587
-0.2614	21.6535	-0.1454
-0.2611	21.6533	-0.1320
-0.2611	21.6488	-0.1787
-0.2611	21.6478	-0.1919
-0.2610	21.6557	-0.1187
-0.2609	21.6460	-0.2119
-0.2609	21.6541	-0.1121
-0.2609	21.6518	-0.1387
-0.2609	21.6486	-0.1719
-0.2608	21.6505	-0.1653
-0.2608	21.6537	-0.1254
-0.2607	21.6490	-0.1853
-0.2607	21.6488	-0.1986
-0.2607	21.6572	-0.0987
-0.2605	21.6465	-0.2053
-0.2604	21.6526	-0.1520
-0.2597	21.6622	-0.0955
-0.2596	21.6472	-0.1953
-0.2596	21.6486	-0.1687
-0.2596	21.6468	-0.2087
-0.2595	21.6467	-0.1887
-0.2595	21.6460	-0.2020
-0.2593	21.6529	-0.1354
-0.2592	21.6520	-0.1287
-0.2592	21.6488	-0.1753
-0.2592	21.6513	-0.1221
-0.2592	21.6477	-0.1620
-0.2591	21.6474	-0.1820
-0.2583	21.6463	-0.1786
-0.2582	21.6505	-0.1320
-0.2581	21.6504	-0.1187
-0.2580	21.6506	-0.1121
-0.2579	21.6490	-0.1521
-0.2579	21.6456	-0.1653
-0.2578	21.6490	-0.1387
-0.2578	21.6489	-0.1453
-0.2578	21.6472	-0.1720
-0.2578	21.6523	-0.0987
-0.2578	21.6445	-0.1853
-0.2576	21.6499	-0.1253
-0.2574	21.6512	-0.1053
-0.2573	21.6427	-0.2119
-0.2570	21.6431	-0.1919
-0.2570	21.6427	-0.2053
-0.2570	21.6468	-0.1586
-0.2567	21.6426	-0.1986
-0.2566	21.6439	-0.1820
-0.2566	21.6435	-0.2086
-0.2566	21.6424	-0.1953
-0.2563	21.6435	-0.1686
-0.2563	21.6472	-0.1487
-0.2562	21.6456	-0.1753
-0.2562	21.6509	-0.0954
-0.2562	21.6449	-0.1554
-0.2562	21.6442	-0.2020
-0.2561	21.6471	-0.1354
-0.2561	21.6463	-0.1287
-0.2561	21.6445	-0.1620
-0.2560	21.6455	-0.1420
-0.2559	21.6433	-0.1886
-0.2559	21.6480	-0.1087
-0.2558	21.6487	-0.1154
-0.2556	21.6472	-0.1220
-0.2550	21.6460	-0.1254
-0.2548	21.6448	-0.1520
-0.2547	21.6428	-0.1586
-0.2547	21.6417	-0.1986
-0.2545	21.6461	-0.1320
-0.2545	21.6455	-0.1387
-0.2544	21.6380	-0.2118
-0.2544	21.6415	-0.1720
-0.2543	21.6464	-0.1187
-0.2543	21.6450	-0.1053
