Положение X	Положение Y	Положение Z
0.1246	21.6782	-0.1831
0.1251	21.6802	-0.2062
0.1252	21.6744	-0.2293
0.1252	21.6746	-0.1889
0.1254	21.6788	-0.2004
0.1255	21.6719	-0.2119
0.1256	21.6782	-0.1946
0.1274	21.6700	-0.2003
0.1275	21.6714	-0.1541
0.1275	21.6806	-0.1484
0.1276	21.6802	-0.1946
0.1276	21.6783	-0.2177
0.1276	21.6663	-0.2292
0.1277	21.6711	-0.1773
0.1278	21.6737	-0.1889
0.1278	21.6777	-0.1253
0.1278	21.6810	-0.1715
0.1279	21.6757	-0.2120
0.1279	21.6714	-0.1657
0.1280	21.6814	-0.1311
0.1280	21.6733	-0.2062
0.1280	21.6634	-0.1829
0.1280	21.6780	-0.1369
0.1280	21.6680	-0.2234
0.1283	21.6815	-0.1079
0.1292	21.6803	-0.1600
0.1301	21.6718	-0.1426
0.1302	21.6799	-0.1253
0.1302	21.6643	-0.1888
0.1303	21.6615	-0.2061
0.1303	21.6636	-0.2003
0.1303	21.6819	-0.1369
0.1303	21.6692	-0.1483
0.1304	21.6679	-0.2292
0.1304	21.6685	-0.1945
0.1304	21.6661	-0.1830
0.1305	21.6643	-0.2118
0.1305	21.6646	-0.2176
0.1305	21.6713	-0.1773
0.1306	21.6743	-0.1310
0.1306	21.6635	-0.2234
0.1306	21.6815	-0.1079
0.1307	21.6662	-0.1656
0.1307	21.6719	-0.1541
0.1307	21.6752	-0.1137
0.1307	21.6754	-0.1194
0.1308	21.6651	-0.1714
0.1310	21.6684	-0.1599
0.1327	21.6442	-0.2232
0.1328	21.6597	-0.1541
0.1331	21.6569	-0.1656
0.1332	21.6660	-0.1194
0.1332	21.6449	-0.2347
0.1332	21.6655	-0.1137
0.1332	21.6665	-0.1252
0.1332	21.6761	-0.1310
0.1334	21.6564	-0.1829
0.1334	21.6513	-0.2290
0.1334	21.6518	-0.2060
0.1334	21.6520	-0.2002
0.1334	21.6522	-0.1887
0.1334	21.6698	-0.1368
0.1335	21.6735	-0.1079
0.1335	21.6579	-0.1598
0.1335	21.6645	-0.1425
0.1336	21.6572	-0.1714
0.1337	21.6457	-0.2117
0.1337	21.6527	-0.1944
0.1337	21.6443	-0.2174
0.1338	21.6556	-0.1771
0.1338	21.6533	-0.1482
0.1348	21.6366	-0.2318
0.1352	21.6428	-0.2261
0.1353	21.6475	-0.2088
0.1357	21.6638	-0.1020
0.1358	21.6459	-0.1771
0.1360	21.6402	-0.2173
0.1360	21.6503	-0.1540
0.1360	21.6498	-0.1598
0.1360	21.6570	-0.1425
0.1361	21.6425	-0.1886
0.1361	21.6309	-0.2346
0.1361	21.6655	-0.1137
0.1361	21.6520	-0.1482
0.1361	21.6445	-0.1713
0.1362	21.6484	-0.1655
0.1362	21.6448	-0.1828
0.1363	21.6531	-0.1193
0.1363	21.6337	-0.2288
0.1363	21.6392	-0.2116
0.1363	21.6354	-0.1942
0.1364	21.6377	-0.2058
0.1364	21.6594	-0.1309
0.1364	21.6604	-0.1252
0.1366	21.6463	-0.2001
0.1366	21.6630	-0.1078
0.1366	21.6375	-0.2231
0.1366	21.6551	-0.1367
0.1376	21.6330	-0.2087
0.1376	21.6304	-0.2260
0.1377	21.6276	-0.2202
0.1378	21.6334	-0.2144
0.1379	21.6338	-0.2318
0.1379	21.6388	-0.1914
0.1381	21.6470	-0.1510
0.1381	21.6354	-0.1972
0.1383	21.6356	-0.1885
0.1384	21.6401	-0.1770
0.1385	21.6291	-0.1942
0.1385	21.6202	-0.2344
0.1385	21.6510	-0.1482
0.1385	21.6444	-0.1424
0.1386	21.6307	-0.2288
0.1386	21.6240	-0.2115
0.1387	21.6359	-0.2058
0.1387	21.6304	-0.2172
0.1387	21.6446	-0.1020
0.1387	21.6465	-0.1078
0.1388	21.6440	-0.1366
